[125.00-154.98] Продолжение следует...
[150.00-152.88] Появился в Казахстане.
[250.00-279.52] Всем привет! [279.52-250.00]  [250.24-NA] и в субботу.
[625.00-629.34] как отдельная модель, где требуется завершить только одну маленькую строчку кода, [629.68-636.24] при этом контекст у нее должен быть связан либо с одной строчкой кода, [636.32-640.76] либо как раз таки с кодом предыдущим каким-то, который был написан. [641.36-646.40] Это может быть мультилайн история, когда мы хотим несколько строчек кода сгенерить, [646.54-648.82] которые нам помогут выполнить ту или иную функцию. [649.20-652.30] Либо это должен быть какой-то ассистент, который понимает код [652.30-625.00]  [627.70-NA] и может провести с вами диалог, как раз-таки связанный
[650.00-655.22] какой-то ассистент который понимает код и может провести с вами диалог как раз таки связаны с [655.22-663.18] тем как вы должны там либо код свой построить либо поговорить в целом о коде либо дать задачку [663.18-672.00] комнаты кодовому ассистенту на там работу сингла и мультилай модели вот что касается данных для [672.00-650.00]  [656.72-NA] обучения здесь как раз таки всей кодовой модальности безумно сильно повезло потому что года
[675.00-684.60] всей кодовой модальности безумно сильно повезло потому что кода очень много почти весь в так или [684.60-689.94] иначе представлены в интернете коде он полезный несмотря на достаточно большое количество [689.94-697.32] дубликатов в коде обычно все бенчмарки ой бен датасеты которые там являются при троеном для [697.32-675.00]  [682.56-NA] для подобных моделей, они редусят с помощью дедубликации кода данных.
[700.00-708.52] редусит с помощью дедубликации кода данных буквально свой размер раза в два но при этом [708.52-718.78] все этих данных сильно больше чем на естественном языке на удивление и самый такой распространенный [718.78-726.90] к примеру там при тройного их дата сета для кода это стак 2 недавно вышедший там порядка [726.90-700.00]  [703.10-NA] как 900 миллиардов токенов, как в области, как в области.
[725.00-746.50] вышедший. Там порядка 900 миллиардов токенов. Как вы помните, там в российском интернете нам в целом такое даже сниться там не может на естественном языке. Да даже на англоязычном на самом деле. Не то чтобы там прям имелись такие какие-то датасеты, где столько много токенов было бы представлено. [746.50-725.00]  [733.70-NA] Весит, конечно, эта махина достаточно мощно, но даже на этом, на самом деле, разработчики не осознают, что это не так.
[750.00-769.68] Но даже на этом, на самом деле, разработчики не останавливаются, потому что у кода в целом, как у отдельной модальности, есть такое свойство, что мы всегда можем проверить правильность кода, который так или иначе нам встретится как кусок на какую-то истинность. [770.00-750.00]  [760.32-NA] Раз мы можем проводить такие проверки, мы можем написать какое-то определенное задание на сервис, связанный с генерацией подобных данных.
[775.00-780.12] определенные задания на сервисы, связанные с генерацией подобных данных, [780.64-787.22] и заасертить какую-то историю так, чтобы мы хотели, чтобы все асерты проходили по данным, [787.30-792.56] которые нам сгенерировали тайная или иная модель, и добавить такой синтетический код у нас в обучение. [793.18-800.90] Сейчас тяжело даже назвать толком долю синтетических данных внутри современных моделей, [800.90-804.82] связанных с модальностью кода, однако их достаточно много.
[800.00-802.64] моделей, связанные с модальностью кода. [803.24-806.86] Однако их достаточно много, потому что любая такая синтетика, [807.02-809.12] она так или иначе достаточно качественная. [809.54-812.38] Причем есть несколько подходов, связанные с тем, [812.56-816.40] как подобные данные можно генерить. [817.42-821.14] Есть модели достаточно эффективные, вот их тут список представленный [821.14-823.56] для генерации кода конкретно. [823.56-829.44] Это как маленькие модели, так и в целом достаточно большие некоторые представлены, [829.50-800.00]  [800.54-NA] но они эффективно не могут быть внести в работу.
[825.00-848.80] Как маленькие модели, так и в целом достаточно большие некоторые представлены, но они эффективно справляются с задачей генерации кода. Причем генерация кода у них может быть трех типов. Это либо какая-то self-instruct история, когда мы даем самой какой-то ломке, который нам будет этот код генерировать для тех или иных задач, какое-то задание, она нам на основании этого задания генерит что-то. [848.80-825.00]  [831.08-NA] Это может быть какой-то evolution instruction, когда мы хотим дать какую-то проблему.
[850.00-854.90] это evolution instruction, когда мы хотим дать какую-то проблему, [855.24-858.28] которая нам не кажется достаточно серьезной или сложной, [858.70-863.94] и мы хотим каким-то образом с помощью какой-то инструкции для ломки ее усложнить. [864.38-866.56] Причем это может быть достаточно интеративный процесс. [867.18-869.58] Мы еще поговорим о усложнении задач, связанных с кодом, [870.06-874.14] но это позволяет нам сильно увеличить сложность данных, [874.14-878.92] коли мы можем контролировать на самом деле сложность данных в обучении подобных модальностей. [879.34-850.00]  [851.06-NA] И это открывает нам новые возможности.
[875.00-879.86] можем контролировать на самом деле сложность данных в обучении подобных модальностей. Это открывает [879.86-888.48] нам достаточно большой простор в плане построения каких-то эффективных методов обучения нашей ломки, [888.54-894.44] которая будет связана с кодом. Можно использовать тот же Siriculum Learning, который дает достаточно [894.44-898.96] большую эффективность и страдает от того, что как раз у нас недостаточно данных, которые разбиты [898.96-875.00]  [876.12-877.62] по когортам сложности. [879.42-880.24] Либо это может быть OS instruction, [881.20-NA] когда у нас есть...
[900.00-909.84] либо это может быть о с instruction когда у нас есть какой-то сниппет кода и на базе такого сниппета [909.84-915.48] на может генерироваться целое множество проблем которые до этого не встречалось особо сильно [915.48-928.62] извините пожалуйста да сейчас вот которые доселе нам не встречалось либо на котором у нас там [928.62-900.00]  [901.38-NA] изначального решения.
[925.00-929.24] селе нам не встречалось, либо на которой у нас изначального [929.24-932.36] решения не было, но при этом модель хорошо умеет генерировать [932.36-933.36] подобные примеры. [933.36-941.40] В целом, у нас достаточно хорошо развиты алгоритмы, [941.40-945.62] связанные с фильтрацией подобного, точнее, какого-то [945.62-948.08] плохого хода, который мы можем встретить в нашем [948.08-953.44] притрейне, ровно как и история, связанная с дедупликацией [953.44-925.00]  [926.54-NA] Данных, которые были предоставлены в Казахстане, были предоставлены в Казахстане.
[950.00-957.56] как и истории связанные с дедупликацией данных которые нам позволяют активно как-то отсеять [957.56-965.94] нежелательные какие-то вещи в при трене ровно потому что мы умеем хорошо как раз таки некоторые вещи [965.94-973.28] заострить некоторые вещи мы семантически можем выискивать в наших данных чтобы понять насколько [973.28-979.76] код этот был похож потому что либо по выходам какого каких-то кусков кода мы можем проводить [979.76-950.00]  [950.24-NA] дико.
[975.00-981.76] что либо по выходам на какого каких-то кусков кода мы можем проводить как раз таки симулярии search [981.76-989.38] для того чтобы эффективно там где дублицировать данные ну и самое важное на самом деле для его [989.38-994.74] плане обучения кода является контроль лицензий если мы видим какой-то копирают лицензию мы к [994.74-998.52] сожалению такое обычно должны фильтровать и не использовать нашем обучении потому что чреват [998.52-975.00]  [976.16-976.80] какими-то последствиями. [979.12-980.38] С токенизацией тут тоже ничего нового нет. [981.48-NA] Определенную токенизацию
[1000.00-1002.64] С токенизацией тут тоже ничего нового нет. [1003.84-1007.38] Определенную токенизацию проводят по коду в рамках обучения модели. [1007.62-1011.34] Здесь ровно такие же проблемы, как у обычных LLAM. [1011.48-1013.54] Тут ничего в целом нового нет. [1014.08-1019.20] Каким-то образом дезаблюцируют код, используют ровно те же техники, которые для естественного языка. [1019.82-1020.54] В целом все понятно. [1021.82-1024.24] Что можно поменять в обучении LLAM? [1024.42-1026.86] На самом деле можно не менять ровным счетом ничего. [1026.86-1000.00]  [1002.00-NA] Просто взяв большой пайл...
[1025.00-1032.90] не менять ровным счетом ничего просто взяв большой пайл там естественного языка для того чтобы у нас [1032.90-1039.62] модель понимал инструкции и взять тоже кучу данных связанных с кодом все это дело вместе как-то [1039.62-1047.02] обучить подружить и у нас появится неплохой такой помощник но можно понятное дело взять какую-то [1047.02-1053.92] готовую лампу которую у нас обучена на естественном языке разморозить несколько слоев также обучить [1053.92-1025.00]  [1026.06-NA] И на коде тоже проблема.
[1050.00-1055.84] естественном языке, разморозить несколько слоев, также обучить на коде, тоже проблем не возникнет, [1055.98-1062.38] можно добавить какую-то голову, можно заадаптить под какую-то нашу историю, которая нам интересна. [1062.66-1067.08] И все эти методы, они достаточно стандартные в целом для обучения простых LLM, [1067.18-1073.72] просто новых задач на естественном языке, и при этом они достаточно эффективны для кода, [1073.84-1078.54] как для модальности, и мы тут как раз-таки сейчас каких-то определенных проблем не встречаем, [1078.54-1050.00]  [1051.00-1052.00] появляющимися в мире. Хотя хотели бы иметь в виду и другие, но не могли. [1052.00-1053.00] В этом случае, в основном, мы должны поддерживать и [1053.00-1054.00] поддерживать, и поддерживать, и поддерживать, и поддерживать [1054.00-1055.00] и поддерживать, и поддерживать, и поддерживать, и поддерживать, [1055.00-1056.00] и поддерживать, и поддерживать, и поддерживать, и поддерживать, [1056.00-1057.00] и поддерживать, и поддерживать, и поддерживать, и поддерживать, [1057.00-1058.00] и поддерживать, и поддерживать, и поддерживать, и поддерживать, и поддерживать, [1058.00-1059.00] и поддерживать, и поддерживать, и поддерживать, и поддерживать, и поддерживать, и [1059.00-1060.00] поддерживать, и поддерживать, и поддерживать, и поддерживать, и поддерживать, и [1060.00-1061.00] поддерживать, и поддерживать, и поддерживать, и поддерживать, и поддерживать, и [1061.00-1062.00] поддерживать, и поддерживать, и поддерживать, и поддерживать, и поддерживать, и [1062.00-1063.00] поддерживать, и поддерживать, и поддерживать, и поддерживать, и поддерживать, и
[1075.00-1088.42] И мы тут как раз-таки сейчас каких-то определенных проблем не встречаем, хотя хотели бы иметь какие-то определенные структуры, архитектуры моделей, которые могут эффективно на нас работать с кодом, об этом еще поговорим. [1088.42-1075.00]  [1091.60-NA] Но важной вещью также является возможность селф-импрува таких моделей, как отдельный просто процесс обучения на кормежке данных, собственно, для модельки, так или иначе, из-за того, что мы...
[1100.00-1107.02] данных собственно для модельки так или иначе из за того что мы можем как раз таки проводить этап [1107.02-1116.72] эволюция кода которая сгенерирует наша моделька мы можем давать фидбэк самой модели это такое у нас [1116.72-1125.08] получается бесплатный рель где модельку как раз таки можно достаточно эффективно обучить чтобы [1125.08-1100.00]  [1105.90-NA] она лишилась каких-то своих ошибок причем можно давать
[1125.00-1127.00] чтобы она лишилась каких-то своих ошибок. [1127.50-1131.48] Причем можно давать ассерты к написанию [1131.48-1136.24] либо как вручную, так и какой-то другой кодовой лампе, [1136.56-1139.34] которая выигрывает сейчас всех на бенчмарках. [1139.60-1144.18] Таким образом, достаточно быстро сходить в хорошем качестве для моделей. [1147.80-1150.74] У нас может быть много связанных рисков, [1151.00-1152.54] связанных с обучением модели, [1153.12-1125.00]  [1126.90-NA] потому что
[1150.00-1157.96] рисков связанных с обучением модели потому что зачастую в любых про скрапленных данных даже в [1157.96-1164.62] стеке 2 встречаются какие-то куски кода которые могут быть связаны с лицензией а это нарушение [1164.62-1172.84] каких-то авторских прав достаточно много всяких маловаров то есть там вирусов либо какой-то [1172.84-1150.00]  [1157.14-NA] Это нехороший ход, который мог быть даже выложен в рамках просто...
[1175.00-1183.10] ход который мог быть даже выложен в рамках просто ознакомительных внутри там гитхаба в качестве там [1183.10-1189.70] учебного материала и так далее которые так или иначе может привести к тому что там помощник [1189.70-1197.18] там разработчика на его же мощностях может запустить какой-то вирус такие истории наверное [1197.18-1175.00]  [1177.88-1178.56] есть, я точно не знаю, но риск точно имеется. [1182.74-NA] Можно потерять какие-то или слить.
[1200.00-1209.66] Можно потерять какие-то или слить, по крайней мере, данные. В кусках кода нередко, как минимум, [1209.66-1218.36] находятся какие-то сниппеты или примеры, которые могут содержаться в комментариях. Тех или иных [1218.36-1224.80] персональных данных зачастую тоже может являться большой проблемой. Мы должны уметь фильтровать [1224.80-1200.00]  [1205.18-NA] такие куски хода, плюс весь код, который так...
[1225.00-1232.62] куски хода плюс весь код который так или иначе пошел обучение не факт что является очень [1232.62-1238.50] эффективным и таким образом у нас появляется проблема связанная с тем что у нас в лампка [1238.50-1244.62] может научиться на неэффективных куска хода эта история опять же у нас должна фикситься либо [1244.62-1249.06] какой-то другой более мощные лампы который будет проверять есть код который у нас при тренинге [1249.06-1225.00]  [1226.92-1230.44] находятся, но это дорого. Либо изначально мы должны иметь требования к тем [1230.44-1231.44] кускам кода, которые мы должны иметь.
[1250.00-1256.30] либо изначально мы должны иметь требования к тем кускам кода, которые мы должны будем рисовывать [1256.30-1266.18] в притрейн. Да, множество всего, короче, может быть в целом связано с рисками, начиная от каких-то [1266.18-1271.54] плохих, которые могут привести к нашим каким-то галлюцинациям или нежелательным потерям, заканчивая [1271.54-1277.96] какой-то легальной историей. Что касается бичмарков, из-за того, что мы эффективно умеем генерировать [1277.96-1250.00]  [1252.06-NA] в целом куске кода, у нас тут проблем вообще нет.
[1275.00-1302.12] Из-за того, что мы эффективно умеем генерировать в целом куски кода, у нас тут проблем вообще никаких нет. Бенчмаркам завались. Единственное, что на текущий момент, наверное, плохо, то, что нет сложных бенчмарков, потому что на текущий момент не то чтобы все решения, несмотря на то, что у них кода достаточно много, не умеют в сложной задаче, связанной с кодингом. Об этом тоже обсудим. [1302.12-1275.00]  [1277.88-NA] И, наверное, из всех...
[1300.00-1307.34] кодинга в этом тоже обсудим и наверное из всех бичмарков даже которые сейчас здесь перечислены [1307.34-1314.04] и которые развиваются даже на текущий момент там самого оптимальным самым лучшим решением является [1314.04-1321.42] просто посмотреть как на битком пенча у нас какая у нас там метрика посмотреть может быть какие-то [1321.42-1327.76] более специфичные истории типа если мы хотим помочь когда циентист обучить 1дс тысячу если [1327.76-1300.00]  [1302.22-1303.22] Если мы хотим, чтобы у нас там много языков знало, то, конечно, мы можем. [1303.22-1304.22] Мы можем сделать это, но мы не можем сделать это, [1304.22-1305.22] потому что это не так просто. [1305.22-1306.22] Мы можем сделать это, но мы не можем сделать это, [1306.22-1307.22] потому что это не так просто. [1307.22-1308.22] Мы можем сделать это, но мы не можем сделать это, [1308.22-1309.22] потому что это не так просто. [1309.22-1310.22] Мы можем сделать это, но мы не можем сделать это, [1310.22-1311.22] потому что это не так просто. [1311.22-1312.22] Мы можем сделать это, но мы не можем сделать это, [1312.22-1313.22] потому что это не так просто. [1313.22-1314.22] Мы можем сделать это, но мы не можем сделать это, [1314.22-1315.22] потому что это не так просто. [1315.22-1316.22] Мы можем сделать это, но мы не можем сделать это, [1316.22-1317.22] потому что это не так просто. [1317.22-1318.22] Мы можем сделать это, но мы не можем сделать это, [1318.22-1319.22] потому что это не так просто. [1319.22-1320.22] Мы можем сделать это, но мы не можем сделать это, [1320.22-1321.22] потому что это не так просто. [1321.22-1322.22] Мы можем сделать это, но мы не можем сделать это,
[1325.00-1331.00] обучить тот на ds-1000 если мы хотим чтобы у нас там много языков знала то что-то еще проверить [1331.00-1337.86] типа мультилингах и уменовал ну да сконцентрироваться на каких-то локальных проверках и какой какой-то [1337.86-1344.24] общий бенчмарк вообще в целом среди всех моделей взять то за основу там биткотт бенч руки у нас [1344.24-1350.68] поросли на самом деле всех бенчмарков начиная с как раз таки human ивала который вышел достаточно [1350.68-1325.00]  [1329.22-NA] давно, где-то 4 года назад, по-моему, его сделали.
[1350.00-1357.82] вышел достаточно давно, где-то четыре года назад, по-моему, его сделали как раз-таки ребята из OpenAE. [1359.14-1360.72] Задача достаточно простая. [1361.02-1364.82] У нас есть какой-то код, чаще всего это просто функция, [1365.32-1370.68] причем внутри функции описан док-стрингом примерно, как это должно выглядеть, [1370.68-1376.50] либо данные куски кода других функций, может быть, даже законченных, [1376.66-1379.54] либо внутри самой функции уже несколько строк реализовано. [1379.92-1350.00]  [1350.44-NA] за то, что мы не можем нести в мире.
[1375.00-1379.50] может быть даже законченных, либо внутри самой функции уже несколько строк реализована. [1379.92-1383.54] Задача бенчмарка достаточно простая — продолжить код. [1384.88-1388.92] По какому-то определенному контексту связаны там либо с этой функцией, [1389.04-1390.60] либо с несколькими функциями одновременно. [1391.88-1394.60] И на основании того кода, который, собственно, сгенерится, [1395.08-1398.70] строится метрика под названием там path, это что-то там. [1400.24-1375.00]  [1381.30-NA] В зависимости от того, за какое количество денег
[1400.00-1406.44] В зависимости от того, за какое количество попыток нас устроит, [1406.94-1414.84] что наша какая-то лампка пройдет тот или иной тест. [1415.94-1421.44] Здесь мы хотим как раз-таки учитывать вариативность нашей лампки. [1421.64-1424.20] Желательно, конечно, смотреть на метрику Passed-1. [1424.64-1428.22] То есть нас интересует первая генерация, и она должна быть суперидеальной. [1428.22-1400.00]  [1401.78-NA] но иногда смотрят
[1425.00-1431.42] интересует первая генерация и она должна быть супер идеальный но иногда смотрит и пасы т.н. обычно [1431.42-1441.02] пасы т.п. то есть мы в целом допускаем что часть там генерации может быть плохая но у нас интересует [1441.02-1449.66] хотя бы чтобы в один раз из пяти было хорошо вот понятное дело что там бичмарком сейчас особо [1449.66-1425.00]  [1426.62-1430.34] сильно не следят. Не так давно там сам Humanival под названием Codeval.
[1450.00-1458.04] следят не так давно там сам humanовал под названием кодовал был адаптирован для русского языка поэтому [1458.04-1465.18] сейчас в россии у нас за этим следят но сейчас бичмарк сам по себе устарел на нем выбиваются [1465.18-1470.36] какие-то уже невероятные значения плюсом бичмарк особо не обновляется то есть там как джипе тишка [1470.36-1477.18] точнее какая-то там агентура на джипе тишка она победила в этом бичмарке так там сейчас только [1477.18-1450.00]  [1452.50-NA] пока ни Gbt, ни в целом такой бенчмарк особо не смотрят.
[1475.00-1477.90] победила в этом бичмарке, так там сейчас только одни GPT, [1478.00-1479.70] в целом такой бичмарк особо не смотрят. [1480.78-1487.12] В отличие от бигкот-бенча, который является таким наследником [1487.12-1490.56] Humanvala, они об этом напрямую пишут в своей статье, [1490.98-1493.82] вот как раз-таки бигкот-бенч является достаточно интересным [1493.82-1498.88] и достаточно сложным бичмарком, причем есть сразу несколько версий, [1498.88-1503.42] как и просто фулл бигкот-бенч, так и хард бигкот-бенч. [1503.96-1475.00]  [1476.58-NA] Метрики на нем присутствуют.
[1500.00-1508.10] full биткотт бенч так и hard биткотт бенч метрики на нем пока что даже у самых классных моделей они [1508.10-1513.26] не сильно большие это не может не радовать значит есть куда расти и значит задачи действительно [1513.26-1521.60] сложные суть такого бенча заключается в том что у нас опять же есть какая-то функция нам эту функцию [1521.60-1528.94] как-то закончить но при этом все наши докстринги они оформлены определенным образом есть какие-то [1528.94-1500.00]  [1503.00-NA] параметры
[1525.00-1533.26] оформлены определенным образом, есть какие-то параметры, которые тоже важно и правильно как-то задать, [1533.38-1538.36] либо прочитать с другого контекста, к примеру, с наших импортов, что это за параметры вообще могут быть. [1539.00-1542.72] Нам надо что-то вернуть, какую-то ошибку, возможно, поднять. [1543.18-1549.52] У нас есть определенные, да, реквайрменты, мы можем немножко зафишотить нашу всю историю. [1549.52-1525.00]  [1530.48-NA] Ну и естественно как-то это все дело проверить с какими-то...
[1550.00-1557.16] Ну и, естественно, как-то это все дело проверить какими-то как раз таки ассертами, которые мы делаем. [1557.98-1566.24] Причем все примеры, которые в биткот-бенче так или иначе находятся, они верифицируются трехэтапно. [1567.14-1572.36] Изначально генерируются вообще все эти примеры с помощью каких-то методов, связанных с генерацией кода. [1572.36-1550.00]  [1557.64-NA] Затем все это дело перепрогоняется как людьми, так и какими-то более мощными моделями.
[1575.00-1577.78] как людьми, так и [1577.78-1580.10] там какими-то более мощными моделями. [1580.58-1582.06] И затем еще раз [1582.06-1583.68] дополнительная проверка с помощью [1583.68-1586.10] каких-то экспертов в [1586.10-1588.06] области программирования, какие-то кросс-чеки. [1589.64-1590.26] Ну, так или иначе, [1590.34-1592.00] да, под людьми [1592.00-1593.84] все курировано, так что там какие-то [1593.84-1596.02] суперидеальные примеры. Таких примеров [1596.02-1597.90] может быть не очень много, 1140 [1597.90-1599.90] всего, однако они хорошо [1599.90-1601.56] разбиты по доменам, они [1601.56-1603.70] задействуют так или иначе большинство [1603.70-1575.00]  [1576.30-NA] библиотек, которые
[1600.00-1606.18] разбиты по доменам, они задействуют так или иначе большинство библиотек, которые завязаны на [1606.18-1613.92] измерениях, ну, завязаны на деятельность, там, разработчиков, и с чем они чаще всего встречаются. [1613.92-1622.56] Однако, как вы могли заметить, все это дело только на питоне на текущий момент. По-моему, [1622.56-1629.34] да. Да, если я не ошибаюсь, это пока что только питон. Другие языки, сейчас даже посмотрим, [1629.34-1600.00]  [1601.00-1602.00] Он был в пустыне, и он не мог спать. Он не мог спать. [1602.00-1603.00] Он не мог спать. [1603.00-1604.00] Он не мог спать. [1604.00-1605.00] Он не мог спать. [1605.00-1606.00] Он не мог спать. [1606.00-1607.00] Он не мог спать. [1607.00-1608.00] Он не мог спать. [1608.00-1609.00] Он не мог спать. [1609.00-1610.00] Он не мог спать. [1610.00-1611.00] Он не мог спать. [1611.00-1612.00] Он не мог спать. [1612.00-1613.00] Он не мог спать. [1613.00-1614.00] Он не мог спать. [1614.00-1615.00] Он не мог спать. [1615.00-1616.00] Он не мог спать. [1616.00-1617.00] Он не мог спать. [1617.00-1618.00] Он не мог спать. [1618.00-1619.00] Он не мог спать. [1619.00-1620.00] Он не мог спать. [1620.00-1621.00] Он не мог спать. [1621.00-1622.00] Он не мог спать. [1622.00-1623.00] Он не мог спать. [1623.00-1624.00] Он не мог спать. [1624.00-1625.00] Он не мог спать. [1625.00-1626.00] Он не мог спать. [1626.00-1627.00] Он не мог спать. [1627.00-1628.00] Он не мог спать. [1628.00-1629.00] Он не мог спать.
[1625.00-1636.34] что только питон другие языки и даже посмотрим по моему где-то тут есть да да он только на питоне [1636.34-1643.18] это огорчает потому что зачастую мы хотим от помощника разработчика чтобы она мне только [1643.18-1648.02] на питоне помогал однако на текущий момент это действительно сам лучший бенчмарк хотя [1648.02-1625.00]  [1631.94-NA] Хотя трехэтапный ступенчатый какой-то анализ тех тасок, он дорогой.
[1650.00-1658.76] ступенчатый какой-то анализ тех таз и кону дорогой и только адаптируется на текущий момент под какие-то [1658.76-1667.70] другие языки ds1000 тоже очень похожий пример связанный с уже непосредственно работой там [1667.70-1677.38] датсайентистов у нас тоже есть какое-то описание возможно дата-фреймов там в пандасе и задачи и мы [1677.38-1650.00]  [1652.40-NA] мы должны на основании как раз-таки этой задачи заняться.
[1675.00-1685.54] И мы должны на основании как раз-таки этой задачи заняться генерацией кода на основании какого-то кодового контекста и привести какое-то решение. [1685.84-1689.32] И в дальнейшем его как-то засертить, что-то провести. [1691.32-1693.12] Останавливаться особо сильно на нем не буду. [1693.46-1700.16] В нем достаточно представимость данных по всем библиотекам, так или иначе, которые используют дата-сиентисты. [1700.16-1675.00]  [1678.78-1679.84] Ну и, да, современные, собственно, модели, которые там побивают всё это, естественно, GPT-чувствуют.
[1700.00-1707.30] Ну и, да, современные, собственно, модели, которые там побивают все это, естественно, GPT-Cho, Cloud, DeepSeq. [1707.86-1709.78] В целом ничего удивительного тут нет. [1711.58-1715.06] Также хорошим примером бенчмарка является SVE-бенч. [1715.36-1722.62] Он тоже зачастую, очень часто используется при скорингах всех моделей, которые так или иначе связаны с кодом. [1723.10-1700.00]  [1707.26-NA] бенч является достаточно уникальным интересным ввиду того что он решает задачу может ли какие-то
[1725.00-1733.76] интересным ввиду того что он решает задачу может ли какие-то ломки достаточно хорошо справляться [1733.76-1744.18] с закрытием и шли с на гитхабе так у нас есть какие-то примеры и шьюз пропоршн и с самими [1744.18-1753.02] там разработчиками этого бенчмарка там порядка 90 тысяч пиаров было проанализировано так или [1753.02-1725.00]  [1728.98-NA] иначе и шесть ним были все просто
