[Chunk start 0.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 25.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 50.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 75.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 100.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 125.00s]: [0.00-29.98] Продолжение следует...
[Chunk start 150.00s]: [0.00-3.00] Появился в этом случае, как правило, неизвестный.
[Chunk start 175.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 200.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 225.00s]: [0.00-29.98] Подписывайтесь на наш канал.
[Chunk start 250.00s]: [0.00-29.44] Всем привет! [29.44-0.00]  [1.00-NA] Привет!
[Chunk start 525.00s]: [0.00-7.00] Ну, во-первых, любой разработчик в целом, который особенно разрабатывает подобные модали, [7.14-10.82] если он так или иначе хотел иметь какого-то универсального помощника, [10.90-14.34] который поможет достаточно быстро решать какие-то задачи, связанные с кодом, [14.44-16.30] которые возникают в целом практически всегда, [16.78-20.86] если вы разрабатываете или занимаетесь дата-сайенсом или что-то подобное. [21.24-28.26] И таких задач достаточно много, которые возникают у вас там из раза в раз в вашей жизни. [29.34-0.00]  [1.74-NA] Иногда, когда мы говорим о том, что мы не можем сделать
[Chunk start 550.00s]: [0.00-3.26] у вас там из раза в раз в вашей жизни. [4.26-7.32] Иногда нужно посмотреть, где находится какой-то баг, [8.42-11.50] причем этот баг нужно найти и потом еще и понять, [11.72-14.82] каким образом нам надо сделать так, чтобы этот баг не работал, [15.28-16.54] точнее, исправить этот баг. [17.34-21.62] Нам нужно найти что-то в коде, либо своем, либо чужом. [22.76-25.76] Code-to-code retrieval достаточно часто тоже история, [25.90-27.90] которая позволяет нам решать кодовую модальность. [29.26-0.00]  [2.10-NA] Ну, естественно, в этом случае мы должны улучшить
[Chunk start 575.00s]: [0.00-7.08] история, которая позволяет нам решать кодовую модальность. Естественно, самая главная вещь, [7.08-13.02] для чего кодовая модальность нужна, это генерация кода того или иного. Это может быть полностью как [13.02-19.44] рерайтинг кода, который написали, либо завершение кода, то есть какие-то универсальные помощники, [19.44-25.40] которые позволяют на основании тех данных, которых они обучились, завершить ту или иную вещь. Причем [25.40-0.00]  [4.60-NA] Потом кодовые сервисы обычно, они сочетаются с кодовыми сервисами.
[Chunk start 600.00s]: [0.00-10.92] Причем кодовые сервисы обычно, они сочетают в себе не просто какую-то одну модельку, так они в целом сочетают множество моделей. [10.92-11.88] Сейчас секундочку. [17.38-29.36] Они сочетают множество моделей, начиная от single line модели, это как отдельная модель, где требуется завершить только одну маленькую строчку кода, [29.36-0.00]  [0.64-NA] что при этом не было.
[Chunk start 625.00s]: [0.00-4.34] как отдельная модель, где требуется завершить только одну маленькую строчку кода, [4.68-11.24] при этом контекст у нее должен быть связан либо с одной строчкой кода, [11.32-15.76] либо как раз таки с кодом предыдущим каким-то, который был написан. [16.36-21.40] Это может быть мультилайн история, когда мы хотим несколько строчек кода сгенерить, [21.54-23.82] которые нам помогут выполнить ту или иную функцию. [24.18-27.30] Либо это должен быть какой-то ассистент, который понимает код [27.30-0.00]  [2.70-NA] и может провести с вами диалог, как раз-таки связанный
[Chunk start 650.00s]: [0.00-5.22] какой-то ассистент который понимает код и может провести с вами диалог как раз таки связаны с [5.22-13.18] тем как вы должны там либо код свой построить либо поговорить в целом о коде либо дать задачку [13.18-22.00] комнату кодовому ассистенту на там работу сингла и мультилай модели вот что касается данных для [22.00-0.00]  [6.76-NA] обучения здесь как раз таки всей кодовой модальности безумно сильно повезло потому что года
[Chunk start 675.00s]: [0.00-9.60] всей кодовой модальности безумно сильно повезло потому что кода очень много почти весь в так или [9.60-14.94] иначе представлены в интернете коде он полезный несмотря на достаточно большое количество [14.94-22.32] дубликатов в коде обычно все бенчмарки ой бен датасеты которые там являются при троеном для [22.32-0.00]  [7.56-NA] для подобных моделей, они редусят с помощью дедубликации кода данных.
[Chunk start 700.00s]: [0.00-8.52] редусит с помощью дедубликации кода данных буквально свой размер раза в два но при этом [8.52-18.78] все этих данных сильно больше чем на естественном языке на удивление и самый такой распространенный [18.78-26.90] к примеру там при тройного их дата сета для кода это стак 2 недавно вышедший там порядка [26.90-0.00]  [3.10-NA] Однако, если мы не будем воплотиться в эти проблемы, то мы не
[Chunk start 725.00s]: [0.00-8.12] вышедший. Там порядка 900 миллиардов токенов. Как вы помните, там в российском интернете нам в целом [8.12-14.40] такое даже сниться там не может на естественном языке, да даже на англоязычном на самом деле. [14.66-21.52] Не то чтобы там прям имелись такие какие-то датасеты, где столько много токенов было бы представлено. [21.52-0.00]  [8.64-NA] Весит, конечно, эта махина достаточно мощно, но даже на этом, на самом деле, разработчики не осознают, что это не так.
[Chunk start 750.00s]: [0.00-19.68] Но даже на этом, на самом деле, разработчики не останавливаются, потому что у кода в целом, как у отдельной модальности, есть такое свойство, что мы всегда можем проверить правильность кода, который так или иначе нам встретится как кусок на какую-то истинность. [20.00-0.00]  [10.32-NA] Раз мы можем проводить такие проверки, мы можем написать какое-то определенное задание на сервис, связанный с генерацией подобных данных.
[Chunk start 775.00s]: [0.00-5.12] определенные задания на сервисы, связанные с генерацией подобных данных, [5.64-12.22] и заасертить какую-то историю так, чтобы мы хотели, чтобы все асерты проходили по данным, [12.30-17.56] которые нам сгенерировали тайная или иная модель, и добавить такой синтетический код у нас в обучение. [18.18-25.90] Сейчас тяжело даже назвать толком долю синтетических данных внутри современных моделей, [25.90-29.82] связанных с модальностью кода, однако их достаточно много.
[Chunk start 800.00s]: [0.00-2.64] моделей, связанные с модальностью кода. [3.24-6.86] Однако их достаточно много, потому что любая такая синтетика, [7.02-9.12] она так или иначе достаточно качественная. [9.54-12.38] Причем есть несколько подходов, связанные с тем, [12.56-16.40] как подобные данные можно генерить. [17.42-21.14] Есть модели достаточно эффективные, вот их тут список представленный [21.14-23.56] для генерации кода конкретно. [23.56-29.44] Это как маленькие модели, так и в целом достаточно большие некоторые представлены, [29.50-0.00]  [0.54-NA] но они эффективно не могут быть внести в себя.
[Chunk start 825.00s]: [0.00-5.10] как маленькие модели так и в целом достаточно там большие некоторые представлены но они эффективно [5.10-10.02] справляются с задачей генерации кода причем генерации кода у них может быть трех типов [10.02-17.10] это либо какая-то салфетка история когда мы даем самой какой-то ломки которые нам будет этот код [17.10-22.68] генерировать для тех или иных задач какое-то задание она нам на основании этого задания [22.68-29.76] генерит что-то это может быть какой-то evolution instruction когда мы хотим дать какую-то проблему [29.76-0.00]  [1.00-NA] нам.
[Chunk start 850.00s]: [0.00-4.90] это evolution instruction, когда мы хотим дать какую-то проблему, [5.22-8.28] которая нам не кажется достаточно серьезной или сложной, [8.70-13.94] и мы хотим каким-то образом с помощью какой-то инструкции для ломки ее усложнить. [14.38-16.56] Причем это может быть достаточно интеративный процесс. [17.18-19.58] Мы еще поговорим о усложнении задач, связанных с кодом, [20.06-23.58] но это позволяет нам сильно увеличить сложность данных, [24.58-28.90] коли мы можем контролировать на самом деле сложность данных в обучении подобных модальностей. [29.32-0.00]  [1.08-NA] Это открывает нам новые возможности.
[Chunk start 875.00s]: [0.00-4.38] можем контролировать на самом деле сложность данных в обучении подобных модальностей это [4.38-12.20] открывает нам достаточно большой простор в плане там построение каких-то эффективных методов обучения [12.20-18.46] нашей ломки который будет связан с кодом можно использовать тот же сирикульным ленин который [18.46-22.94] дает достаточно большой эффективности страдает от того что как раз у нас недостаточно данных [22.94-0.00]  [2.16-3.38] которые разбиты по когортам сложности. [7.22-NA] Либо это может быть OS-инструкция, когда у нас есть...
[Chunk start 900.00s]: [0.00-9.88] либо это может быть о с instruction когда у нас есть какой-то сниппет кода и на базе такого сниппета [9.88-15.48] на может генерироваться целое множество проблем которые до этого не встречалось особо сильно [15.48-28.38] извините пожалуйста да сейчас буду вот которые доселе нам не встречалось либо на который у нас [28.38-0.00]  [1.62-NA] у нас там изначального решения.
[Chunk start 925.00s]: [0.00-6.16] селе нам не встречалось, либо на которой у нас там изначального решения не было, но при этом модель [6.16-16.28] хорошо умеет генерировать подобные примеры. В целом у нас достаточно хорошо развитые алгоритмы, [16.28-22.80] связанные с фильтрацией подобного, точнее какого-то плохого хода, который мы можем встретить в нашем [22.80-0.00]  [7.18-NA] при трене, ровно как и история, связанная с дедупликацией данных, которые...
[Chunk start 950.00s]: [0.00-7.56] как и истории связанные с дедупликацией данных которые нам позволяют активно как-то отсеять [7.56-15.94] нежелательные какие-то вещи в притрагивании, потому что мы умеем хорошо как раз таки некоторые вещи [15.94-21.06] заасерсить, некоторые вещи мы семантически можем выискивать в наших данных чтобы понять [21.06-29.76] насколько код этот был похож, потому что либо по выходам каких-то кусков кода мы можем проводить [29.76-0.00]  [0.20-NA] дик.
[Chunk start 975.00s]: [0.00-6.32] что либо по выходам на какого-то каких-то кусков кода мы можем проводить как раз таки и симуляре [6.32-13.88] десерт для того чтобы эффективно там где дублицировать данные ну и самый важный на самом [13.88-19.36] деле для в плане обучения кода является контроль лицензий если мы видим какой-то копирают лицензию [19.36-23.52] мы к сожалению такое обычно должны фильтровать и не использовать нашем обучении потому что чреват [23.52-0.00]  [6.48-NA] каким-то последствиям. С токенизацией тут тоже ничего нового нет. Определенную токенизацию
[Chunk start 1000.00s]: [0.00-2.64] С токенизацией тут тоже ничего нового нет. [3.84-7.38] Определенную токенизацию проводят по коду в рамках обучения модели. [7.62-11.34] Здесь ровно такие же проблемы, как у обычных LLAM. [11.48-13.54] Тут ничего в целом нового нет. [14.08-19.20] Каким-то образом дезаблицируют код, используют ровно те же техники, которые для естественного языка. [19.82-20.54] В целом все понятно. [21.82-24.22] Что можно поменять в обучении LLAM? [24.42-26.86] На самом деле можно не менять ровным счетом ничего. [26.86-0.00]  [2.00-NA] просто взяв большой пайл...
[Chunk start 1025.00s]: [0.00-6.98] можно не менять ровным счетом ничего, просто взяв большой пайл естественного языка, [7.08-12.68] для того чтобы у нас модель понимала инструкции, и взять тоже кучу данных, связанных с кодом, [13.68-18.58] все это дело вместе как-то обучить, подружить, и у нас появится неплохой такой помощник. [19.96-25.86] Но можно, понятное дело, взять какую-то готовую лампу, которая у нас обучена на естественном языке, [26.86-0.00]  [4.14-4.16] Разморозить несколько слоев, также обучить на коде, тоже проблема.
[Chunk start 1050.00s]: [0.00-5.82] естественном языке, разморозить несколько слоев, также обучить на коде, тоже проблем не возникнет, [5.98-12.38] можно добавить какую-то голову, можно заадаптить под какую-то нашу историю, которая нам интересна. [12.66-17.08] И все эти методы, они достаточно стандартны в целом для обучения простых LLM, [17.08-23.72] просто новых задач на естественном языке, и при этом они достаточно эффективны для кода, [23.88-28.56] как для модальности, и мы тут как раз-таки сейчас каких-то определенных проблем не встречаем, [28.66-0.00]  [1.44-NA] пообщениям, хотя хотели бы иметь более конкретные
[Chunk start 1075.00s]: [0.00-13.40] И мы тут как раз-таки сейчас каких-то определенных проблем не встречаем, хотя хотели бы иметь какие-то определенные структуры, архитектуры моделей, которые могут эффективно на нас работать с кодом, об этом еще поговорим. [13.40-0.00]  [16.62-NA] Но важной вещью также является возможность селф-импрува таких моделей, как отдельный просто процесс обучения на кормежке данных, собственно, для модельки, так или иначе, из-за того, что мы...
[Chunk start 1100.00s]: [0.00-7.02] данных собственно для модельки так или иначе из за того что мы можем как раз таки проводить этап [7.02-16.72] эволюция кода которые сгенерируют наша моделька мы можем давать фидбэк самой модели это такое у нас [16.72-25.08] получается бесплатный рель где модельку как раз таки можно достаточно эффективно обучить чтобы [25.08-0.00]  [4.92-NA] чтобы она лишилась каких-то своих ошибок, причем можно давать...
[Chunk start 1125.00s]: [0.00-6.48] чтобы она лишилась каких-то своих ошибок, причем можно давать ассерты к написанию [6.48-11.24] либо как вручную, так и какой-то другой кодовой лампе, [11.56-14.34] которая выигрывает сейчас всех на бенчмарках, [14.34-19.18] таким образом достаточно быстро сходясь в хорошем качестве для моделей. [21.28-27.54] У нас может быть много связанных рисков, связанных с обучением модели, [28.14-0.00]  [1.86-NA] потому что
[Chunk start 1150.00s]: [0.00-7.98] рисков, связанных с обучением модели, потому что зачастую в любых проскрапленных данных, даже в [7.98-14.62] стейке 2, встречаются какие-то куски кода, которые могут быть связаны с лицензией, а это нарушение [14.62-22.86] каких-то авторских прав, достаточно много всяких маловаров, то есть там вирусов, либо какой-то [22.86-0.00]  [7.14-NA] нехороший ход, который мог быть даже выложен в рамках просто
[Chunk start 1175.00s]: [0.00-8.10] ход который мог быть даже выложен в рамках просто ознакомительных внутри там гитхаба в качестве там [8.10-14.70] учебного материала и так далее которые так или иначе может привести к тому что там помощник [14.70-22.18] там разработчика на его же мощностях может запустить какой-то вирус такие истории наверное [22.18-0.00]  [2.88-3.56] есть, я точно не знаю, но риск точно имеется. [7.74-NA] Можно потерять какие-то или слить.
[Chunk start 1200.00s]: [0.00-9.66] Можно потерять какие-то или слить, по крайней мере, данные. В кусках кода нередко, как минимум, [9.66-18.36] находятся какие-то сниппеты или примеры, которые могут содержаться в комментариях. Тех или иных [18.36-24.80] персональных данных зачастую тоже может являться большой проблемой. Мы должны уметь фильтровать [24.80-0.00]  [5.18-NA] такие куски кода, плюс весь код, который так...
[Chunk start 1225.00s]: [0.00-7.62] куски кода, плюс весь код, который так или иначе пошел в обучение, не факт, что является очень [7.62-13.50] эффективным, и таким образом у нас появляется проблема, связанная с тем, что у нас в лампе [13.50-19.62] можно учиться на неэффективных кусках кода. Эта история, опять же, у нас должна фикситься либо [19.62-23.74] какой-то другой, более мощной лампой, которая будет проверять весь код, который у нас при [23.74-29.98] тренинге находится, но это дорого, либо изначально мы должны иметь требования к тем кускам кода, [29.98-0.00]  [1.00-2.00] Но в этом не все. В основном, это не все. [2.00-3.00] В основном, это не все. [3.00-4.00] В основном, это не все. [4.00-5.00] В основном, это не все. [5.00-6.00] В основном, это не все. [6.00-7.00] В основном, это не все. [7.00-8.00] В основном, это не все. [8.00-9.00] В основном, это не все. [9.00-10.00] В основном, это не все. [10.00-11.00] В основном, это не все. [11.00-12.00] В основном, это не все. [12.00-13.00] В основном, это не все. [13.00-14.00] В основном, это не все. [14.00-15.00] В основном, это не все. [15.00-16.00] В основном, это не все. [16.00-17.00] В основном, это не все. [17.00-18.00] В основном, это не все. [18.00-19.00] В основном, это не все. [19.00-20.00] В основном, это не все. [20.00-21.00] В основном, это не все. [21.00-22.00] В основном, это не все. [22.00-23.00] В основном, это не все. [23.00-24.00] В основном, это не все. [24.00-25.00] В основном, это не все.
[Chunk start 1250.00s]: [0.00-6.30] либо изначально мы должны иметь требования к тем кускам кода, которые мы должны будем рисовывать [6.30-16.14] в притрейн. Да, множество всего, короче, может быть в целом связано с рисками, начиная от таких [16.14-21.54] плохих, которые могут привести к нашим каким-то галлюцинациям или нежелательным потерям, заканчивая [21.54-27.96] какой-то легальной историей. Что касается бичмарков, из-за того, что мы эффективно умеем генерировать [27.96-0.00]  [2.06-NA] в целом куске кода, у нас тут проблем вообще нет.
[Chunk start 1275.00s]: [0.00-27.12] Из-за того, что мы эффективно умеем генерировать в целом куски кода, у нас тут проблем вообще никаких нет. Бенчмаркам завались. Единственное, что на текущий момент, наверное, плохо, то, что нет сложных бенчмарков, потому что на текущий момент не то чтобы все решения, несмотря на то, что у них кода достаточно много, не умеют в сложной задаче, связанной с кодингом. Об этом тоже обсудим. [27.12-0.00]  [2.88-NA] И, наверное, из всех, которые были в Казахстане, я думаю,
[Chunk start 1300.00s]: [0.00-7.34] кодинга в этом тоже обсудим и наверное из всех бичмарков даже которые сейчас здесь перечислены [7.34-14.04] и которые развиваются даже на текущий момент там самым оптимальным самым лучшим решением является [14.04-21.42] просто посмотреть как на битком пенча у нас какая у нас там метрика посмотреть может быть какие-то [21.42-27.76] более специфичные истории типа если мы хотим помочь когда центиста обучить 1дс тысячу если [27.76-0.00]  [2.22-3.22] Если мы хотим, чтобы у нас там много языков знало, то, конечно, мы можем. [3.22-4.22] Мы можем сделать это, но мы не можем сделать это, [4.22-5.22] потому что это не так просто. [5.22-6.22] Мы можем сделать это, но мы не можем сделать это, [6.22-7.22] потому что это не так просто. [7.22-8.22] Мы можем сделать это, но мы не можем сделать это, [8.22-9.22] потому что это не так просто. [9.22-10.22] Мы можем сделать это, но мы не можем сделать это, [10.22-11.22] потому что это не так просто. [11.22-12.22] Мы можем сделать это, но мы не можем сделать это, [12.22-13.22] потому что это не так просто. [13.22-14.22] Мы можем сделать это, но мы не можем сделать это, [14.22-15.22] потому что это не так просто. [15.22-16.22] Мы можем сделать это, но мы не можем сделать это, [16.22-17.22] потому что это не так просто. [17.22-18.22] Мы можем сделать это, но мы не можем сделать это, [18.22-19.22] потому что это не так просто. [19.22-20.22] Мы можем сделать это, но мы не можем сделать это, [20.22-21.22] потому что это не так просто. [21.22-22.22] Мы можем сделать это, но мы не можем сделать это,
[Chunk start 1325.00s]: [0.00-6.00] обучить тот на ds-1000 если мы хотим чтобы у нас там много языков знала то что-то еще проверить [6.00-12.86] типа мультилингах и уменовал ну да сконцентрироваться на каких-то локальных проверках и какой какой-то [12.86-19.24] общий бенчмарк вообще в целом среди всех моделей взять то за основу там биткотт бенч руки у нас [19.24-25.68] поросли на самом деле всех бенчмарков начиная с как раз таки human ивала который вышел достаточно [25.68-0.00]  [4.22-NA] давно, где-то четыре года назад, по-моему, его сделали.
[Chunk start 1350.00s]: [0.00-2.76] вышел достаточно давно, где-то четыре года назад, [2.76-9.52] по-моему, его сделали как раз таки open, ребята из openA. [9.52-13.40] Задача достаточно простая, у нас есть какой-то код, [13.40-17.44] чаще всего это просто функция, причем внутри функции описан [17.44-21.28] док-стрингом примерно, как это должно выглядеть, либо [21.28-25.94] данные куски кода других функций, может быть даже [25.94-28.62] законченных, либо внутри самой функции уже несколько [28.62-0.00]  [1.36-NA] строк реализовано.
[Chunk start 1375.00s]: [0.00-4.50] может быть даже законченных, либо внутри самой функции уже несколько строк реализована. [4.92-8.54] Задача бенчмарка достаточно простая — продолжить код. [9.88-13.92] По какому-то определенному контексту связаны там либо с этой функцией, [14.04-15.60] либо с несколькими функциями одновременно. [16.88-19.60] И на основании того кода, который, собственно, сгенерится, [20.06-23.70] строится метрика под названием там path, это что-то там. [25.24-0.00]  [6.32-NA] В зависимости от того, за какое количество денег
[Chunk start 1400.00s]: [0.00-6.42] В зависимости от того, за какое количество попыток нас устроит, [6.42-14.84] что наша какая-то ламка пройдет тот или иной тест. [15.94-21.44] Здесь мы хотим как раз-таки учитывать вариативность нашей ламки. [21.66-24.20] Желательно, конечно, смотреть на метрику Passed-1. [24.64-28.24] То есть нас интересует первая генерация, и она должна быть суперидеальной. [28.76-0.00]  [1.76-NA] но иногда смотрят
[Chunk start 1425.00s]: [0.00-6.42] интересует первая генерация и она должна быть супер идеальный но иногда смотрит и пасы т.н. обычно [6.42-16.02] пасы т.п. то есть мы в целом допускаем что часть там генерации может быть плохая но у нас интересует [16.02-24.66] хотя бы чтобы в один раз из пяти было хорошо вот понятное дело что там бичмарком сейчас особо [24.66-0.00]  [1.62-5.34] сильно не следят. Не так давно там сам Human Eval под названием Code Eval.
[Chunk start 1450.00s]: [0.00-8.04] следят не так давно там сам humanовал под названием кодовал был адаптирован для русского языка поэтому [8.04-15.18] сейчас в россии у нас за этим следят но сейчас бичмарк сам по себе устарел на нем выбиваются [15.18-20.36] какие-то уже невероятные значения плюсом бичмарк особо не обновляется то есть там как джипе тишка [20.36-27.18] точнее какая-то там агентура на джипе тишка я нам победила в этом бичмарке так там сейчас только [27.18-0.00]  [2.50-NA] как одни GPT и в целом на такой бенчмарк особо не смотрят.
[Chunk start 1475.00s]: [0.00-2.90] победила в этом бичмарке, так там сейчас только одни GPT, [3.00-4.70] в целом такой бичмарк особо не смотрят. [5.78-12.12] В отличие от бигкот-бенча, который является таким наследником [12.12-15.56] Humanvala, они об этом напрямую пишут в своей статье, [15.98-18.82] вот как раз-таки бигкот-бенч является достаточно интересным [18.82-23.88] и достаточно сложным бичмарком, причем есть сразу несколько версий, [23.88-28.42] как и просто фулл бигкот-бенч, так и хард бигкот-бенч. [28.96-0.00]  [1.58-NA] Метрики на нем присутствуют.
[Chunk start 1500.00s]: [0.00-8.10] full bitcode bench так и hard bitcode bench метрики на нем пока что даже у самых классных моделей они [8.10-13.26] не сильно большие это не может не радовать значит есть куда расти и значит задачи действительно [13.26-21.60] сложные суть такого бенча заключается в том что у нас опять же есть какая-то функция нам эту функцию [21.60-28.94] как-то закончить но при этом все наши докстринги они оформлены определенным образом есть какие-то [28.94-0.00]  [3.00-NA] параметры
[Chunk start 1525.00s]: [0.00-8.26] оформлены определенным образом, есть какие-то параметры, которые тоже важно и правильно как-то задать, [8.38-13.36] либо прочитать с другого контекста, к примеру, с наших импортов, что это за параметры вообще могут быть. [14.00-17.72] Нам надо что-то вернуть, какую-то ошибку, возможно, поднять. [18.18-24.52] У нас есть определенные, да, реквайрменты, мы можем немножко зафишотить нашу всю историю. [24.52-0.00]  [5.48-NA] Ну и, естественно, как-то это все дело проверить с какими-то...
[Chunk start 1550.00s]: [0.00-7.16] Ну и, естественно, как-то это все дело проверить какими-то как раз таки ассертами, которые мы делаем. [7.96-16.24] Причем все примеры, которые в биткоин-бенче так или иначе находятся, они верифицируются трехэтапно. [17.14-22.36] Изначально генерируются вообще все эти примеры с помощью каких-то методов, связанных с генерацией кода. [22.36-0.00]  [7.64-NA] Затем все это дело перепрогоняется как людьми, так и какими-то более мощными моделями.
[Chunk start 1575.00s]: [0.00-5.10] как людьми, так и какими-то более мощными моделями. [5.58-10.36] И затем еще раз дополнительная проверка с помощью каких-то экспертов [10.36-13.08] в области программирования, какие-то кросс-чеки. [14.66-17.74] Ну, так или иначе, да, под людьми все курировано, [17.84-20.06] так что там какие-то суперидеальные примеры. [20.06-23.24] Таких примеров может быть не очень много, 1140 всего, [23.76-25.80] однако они хорошо разбиты по доменам, [26.32-29.30] они задействуют так или иначе большинство библиотек, [29.50-0.00]  [1.00-2.00] которые, как мы знаем, не могут быть в состоянии. В этом случае мы должны решить, как мы можем помочь. [2.00-3.00] В этом случае мы должны помочь. [3.00-4.00] В этом случае мы должны помочь. [4.00-5.00] В этом случае мы должны помочь. [5.00-6.00] В этом случае мы должны помочь. [6.00-7.00] В этом случае мы должны помочь. [7.00-8.00] В этом случае мы должны помочь. [8.00-9.00] В этом случае мы должны помочь. [9.00-10.00] В этом случае мы должны помочь. [10.00-11.00] В этом случае мы должны помочь. [11.00-12.00] В этом случае мы должны помочь. [12.00-13.00] В этом случае мы должны помочь. [13.00-14.00] В этом случае мы должны помочь. [14.00-15.00] В этом случае мы должны помочь. [15.00-16.00] В этом случае мы должны помочь. [16.00-17.00] В этом случае мы должны помочь. [17.00-18.00] В этом случае мы должны помочь. [18.00-19.00] В этом случае мы должны помочь. [19.00-20.00] В этом случае мы должны помочь. [20.00-21.00] В этом случае мы должны помочь. [21.00-22.00] В этом случае мы должны помочь. [22.00-23.00] В этом случае мы должны помочь. [23.00-24.00] В этом случае мы должны помочь.
[Chunk start 1600.00s]: [0.00-6.12] разбиты по доменам, они задействуют так или иначе большинство библиотек, которые завязаны на [6.12-13.92] измерения, ну, завязаны на деятельность, там, разработчиков, и с чем они чаще всего встречаются. [13.92-22.56] Однако, как вы могли заметить, все это дело только на питоне на текущий момент. По-моему, да. [23.38-0.00]  [3.32-4.22] Да, если я не ошибаюсь, это пока что только питон. [7.60-NA] Другие языки, сейчас даже посмотрим, по-моему, он где-то...
[Chunk start 1625.00s]: [0.00-11.34] что только питон другие языки и даже посмотрим по моему где-то тут есть да да он только на питоне [11.34-18.18] это огорчает потому что зачастую мы хотим от помощника разработчика чтобы она мне только [18.18-23.02] на питоне помогал однако на текущий момент это действительно сам лучший бенчмарк хотя [23.02-0.00]  [6.94-NA] Хотя трехэтапный ступенчатый какой-то анализ тех тасок, он дорогой.
