[550.00-569.00] Всё, что я могу сказать, я могу сказать только на этом. [569.00-550.00]  [557.58-559.64] Всем привет. Прошу прощения за задержку. Давайте наступать. Скажите, пожалуйста, меня слышно, видно? [560.62-NA] Да, слышно, видно.
[975.00-980.22] Но если t меньше бесконечности, то следа называется эпизодической. [980.94-985.06] Соответственно, через какое-то фиксированное количество шагов взаимодействие у вас заканчивается. [985.40-993.42] Часто вы даже знаете, сколько шагов как максимум вам придется проиграть в этой игре. [994.06-998.02] Можете закладывать эту информацию как-то в тейп. [998.02-975.00]  [982.14-NA] На самом деле, я, по-моему, упоминал, что можно закладывать информацию в эпизодических средствах.
[1000.00-1011.68] что можно закладывать информацию в эпизодических следов в State как по такой формуле. [1011.68-1025.82] Типа буквально говорите, на каком промежутке взаимодействия от нуля до единицы вы сейчас находитесь. [1026.38-1028.14] Агент тоже это может эксплуатировать. [1028.66-1000.00]  [1002.00-NA] Вот, например, интересная штука, которая, по-моему,
[1025.00-1032.00] сейчас находитесь. Вот агент тоже это может эксплуатировать. Вот, например, интересная штука, как раз в... [1034.00-1047.98] Сейчас скажу. В муравье, в continuous control задачи, мы рассматривали ее в прошлый раз, где такая туча с четырьмя лапами ходит. [1047.98-1025.00]  [1028.86-1032.02] Там, если вот это сделать, в конце агент, в какой-то момент он, он же не дурак, он поймет, что можно...
[1050.00-1053.56] В конце агент, в какой-то момент он же не дурак, он [1053.56-1059.20] поймет, что можно, что взаимодействие заканчивается через какое-то [1059.20-1061.50] количество шагов, и в конце, чтобы… [1061.50-1064.12] А ему дают награду за то, насколько далеко он отошел [1064.12-1065.82] от своей первоначальной точки. [1065.82-1067.96] Он в конце может прыгать, то есть он буквально перед [1067.96-1071.38] концом эпизода прыгает вперед, потому что ему уже все равно, [1071.38-1072.54] типа упадет, не упадет. [1072.54-1075.84] Ему главное вот добить вот это расстояние, получить [1075.84-1078.98] вот эту большую награду за такой отчаянный прыжок [1078.98-1079.98] в конце.
[1075.00-1079.28] получить вот эту большую награду за такой отчаянный кружок в конце. [1080.10-1081.64] Такие спецэффекты тоже бывают. [1085.00-1086.52] Так, двигаемся дальше. [1087.36-1090.66] Соответственно, да, максимизируем G0 по нашей политике. [1092.08-1094.12] На самом деле, вот это мотожидание, просто напомню, [1094.34-1096.28] у нас два источника стахастики в среде. [1096.54-1098.72] Это политика и сама среда. [1099.58-1102.38] Соответственно, будет вот это мотожидание по P, [1102.38-1075.00]  [1077.60-NA] на самом деле много вложенных в это ожиданий.
[1100.00-1106.30] будет вот этом от ожидания попьет на самом деле много вложенных мы-то жида не чередующихся среда [1106.30-1116.12] политика 3d политика какие у нас были сам что чтобы все работало хорошо в алгоритмах полисе [1116.12-1124.78] его вытер рейшн 1 1 сам шин довольно сильный мягко говоря это то что динамика среды то есть та [1124.78-1100.00]  [1102.48-1105.22] это та вероятность, с которой вы перейдете в то или иное состояние, и состояние S под действием S.
[1125.00-1127.90] вероятность, с которой вы перейдете в то или иное состояние, [1128.24-1132.92] и состояние S, сделав действие A, она известна. [1135.06-1139.92] Не так уж и много средств из реального мира удовлетворяет этому условию, [1140.88-1144.40] поэтому насколько это реалистичный сценарий, судите сами. [1144.92-1149.76] А два других ассамбляжа вроде бы не очень-то и строгие. [1150.26-1125.00]  [1129.84-NA] Говорим, что space конечен, в целом достаточно много.
[1150.00-1160.42] Говорим, что space конечен, в целом достаточно много сред удовлетворяет этому условию. [1160.72-1164.34] И action space конечен, еще больше сред удовлетворяет этому условию. [1166.30-1174.20] Вот если все выполнено, то можем сначала вывести уравнение Беллмана, [1174.20-1179.20] который связывает как раз вейку функции в текущем состоянии.
[1175.00-1180.08] которые связывают как раз в A и Q функции в текущем состоянии [1180.08-1183.74] через в A и Q функции, через состояние, [1183.78-1186.70] в которое потенциально из этого состояния можно попасть. [1188.46-1191.28] Это верно для V функции. [1191.62-1195.58] Для Q функции вы просто в качестве вашей минимальной единицы [1195.58-1197.52] рассматриваете пару состояния действия. [1197.64-1200.36] То есть вы находитесь в состоянии S, делаете действие A [1200.36-1204.62] и дальше смотрите, в какое состояние, во-первых, я могу попасть под этим, [1204.88-1175.00]  [1175.36-NA] делю.
[1200.00-1206.78] и дальше смотрите а в какое состояние во первых я могу попасть под этим делю под действием под [1206.78-1215.12] действием это в действие надо избегать таких татологий сделав определенное действие и какие [1215.12-1223.82] действия могу сделать в этом состоянии с штрих соответственно для любой политики можно как раз [1223.82-1200.00]  [1206.18-NA] выписать эти уравнения в IP и купи. Еще у нас была такая политика, которая лучше всех, оптимальна.
[1225.00-1226.14] уравнения в IP и QP. [1226.60-1229.38] Еще у нас была такая политика, которая лучше всех, [1229.62-1230.52] оптимальная политика. [1231.10-1233.90] Вот для вейку функции, для такой политики [1233.90-1235.94] мы будем называть вейку созвездой. [1236.80-1239.58] Соответственно, здесь уравнения меняются. [1239.76-1243.32] Обратите внимание, что уравнения практически [1243.32-1246.30] остаются теми же с точностью до замены [1246.30-1251.90] от ожидания по среде на максимум. [1252.68-1225.00]  [1254.98-NA] Максимум, сейчас, не посреди, а по полной.
[1250.00-1265.00] На самом деле, если вспомните, у нас было такое утверждение, [1265.00-1270.66] которое на самом деле теорема, что у конечной МДП существует [1270.66-1272.40] детерминированная оптимальная политика. [1272.40-1278.84] Ну и соответственно, здесь это некоторая такая контенсенция [1278.84-1250.00]  [1251.12-NA] утверждения, что
[1275.00-1284.84] это некоторая кинтенсенция этого утверждения что в с звездой кусок для такой политики будут [1284.84-1293.22] подчиняться вот такому уравнению хотел я что-то здесь сказать она кстати обратить внимание что [1293.22-1303.74] почему здесь везде суммы стоят именно из-за вот наших а сам шина в 2 и 3 все от ожидания которые [1303.74-1275.00]  [1276.26-NA] которые на самом деле интегралы, превращающиеся в криптовалюты.
[1300.00-1306.60] а сам что в 2 и 3 все мат ожидания которые на самом деле интегралы превращаются в конечные [1306.60-1312.90] суммы о каком-то конечному носителю соответственно вот так таком в такой удобной форме можно эти [1312.90-1321.50] уравнения записать а и у нас было два алгоритма первые наши алгоритмы для решения задачи в [1321.50-1300.00]  [1308.40-NA] парадигме reinforcement learning. Первый это value iteration, просто вспоминаем, что все четыре эти уравнения это
[1325.00-1330.82] это в аллее террористом просто вспоминаем что все четыре эти уравнения это на самом деле если [1330.82-1338.80] их рассматривать как операторы которые переводят функцию из одного банка из банкового пространства [1338.80-1347.38] себя то есть действует на эту функцию то они на самом деле и отжатие коэффициентом сжатие [1347.38-1325.00]  [1333.42-NA] гамма соответственно что нам говорит теорема
[1350.00-1375.14] Соответственно, что нам говорит теорема банных ограничивающих отображений, что существует единственная неподвижная точка, и если мы запустим алгоритм простой итерации, то какое бы начальное приближение мы ни взяли, мы сойдемся к вот этой неподвижной точке. [1375.38-1350.00]  [1354.84-NA] Соответственно, ну давайте это эксплуатировать, давайте запустим наш алгоритм первый — Value Trade.
[1375.00-1392.78] Соответственно, давайте это эксплуатировать, давайте запустим наш алгоритм первый, Value Iteration. По сути, Value Iteration вскрывает в себя два этапа, объединенных в один. [1392.78-1375.00]  [1387.50-NA] Напомню, что у нас алгоритмы в итоге сводились к двум действиям – Policy Evaluation и Policy Evaluation.
[1400.00-1406.18] к двум действиям – Policy Evaluation и Policy Improvement. [1406.82-1412.16] То есть на этапе Policy Evaluation мы оцениваем текущую политику, [1412.34-1415.48] то есть сколько награды мы можем получить благодаря этой политике. [1415.48-1419.50] На этапе Policy Improvement мы улучшаем политику, [1419.80-1422.48] улучшаем с помощью какого-то детерминированного правила. [1423.64-1425.88] Соответственно, здесь зашли-то два действия. [1425.96-1400.00]  [1405.06-NA] вот это полисе и влечем один шаг управления
[1425.00-1433.70] зашито два действия вот это полисе революция один шаг про мнения один шаг по сути полисе [1433.70-1446.72] полисе в лыжи на для текущей политики а это полисе и полный в вала iteration это не не [1446.72-1452.66] так очевидно но мы сейчас посмотрим на поле ситой шин и там все станет совсем очевидно [1452.66-1425.00]  [1427.34-NA] Типа, где полис им...
[1450.00-1457.06] И там все станет совсем очевидно, где policy evaluation, где policy improvement. [1457.76-1463.10] Ну и просто картинка для того, чтобы визуализировать вот это уравнение. [1463.10-1469.16] Что мы говорим? Мы говорим, на самом деле, что мы можем представить игру как некоторое дерево. [1469.26-1470.58] Мы сейчас находимся в состоянии ST. [1471.86-1474.28] Мы можем... Что мы можем сделать? [1474.36-1477.60] Мы можем посмотреть, а куда мы... [1477.60-1479.48] Какие действия мы можем в этом состоянии совершить? [1479.92-1450.00]  [1451.00-1452.00] Удовольствие от этого не имеет никакого значения. В этом случае, если вы хотите, чтобы я мог предоставить [1452.00-1453.00] вам дополнительные данные, то вы можете предоставлять [1453.00-1454.00] их в виде сайта. [1454.00-1455.00] В этом случае, если вы хотите, чтобы я мог предоставить [1455.00-1456.00] вам дополнительные данные, то вы можете предоставить [1456.00-1457.00] их в виде сайта. [1457.00-1458.00] В этом случае, если вы хотите, чтобы я мог предоставить [1458.00-1459.00] вам дополнительные данные, то вы можете предоставить [1459.00-1460.00] их в виде сайта. [1460.00-1461.00] В этом случае, если вы хотите, чтобы я мог предоставить [1461.00-1462.00] вам дополнительные данные, то вы можете предоставить [1462.00-1463.00] их в виде сайта. [1463.00-1464.00] В этом случае, если вы хотите, чтобы я мог предоставить [1464.00-1465.00] вам дополнительные данные, то вы можете предоставить [1465.00-1466.00] их в виде сайта. [1466.00-1467.00] В этом случае, если вы хотите, чтобы я мог предоставить
[1475.00-1480.76] посмотреть, а куда мы, какие действия мы можем в этом состоянии совершить, куда мы можем попасть. [1481.30-1486.56] Дальше мы совершаем какое-то действие, попадаем сюда, например, [1487.40-1495.10] дальше мы смотрим, попадание, на самом деле, условное, потому что тут черное это действие, [1495.40-1498.66] поэтому мы не переходим в состояние, это просто визуализация. [1500.28-1475.00]  [1480.64-NA] получаем награду здесь это плюс один на самом деле это рт
[1500.00-1507.68] получаем награду здесь это плюс один на самом деле это рт в разных источниках по-разному пишется [1507.68-1512.96] индексного сути не меняя вот а дальше мы смотрим типа в какие состояния мы можем попасть под этим [1512.96-1520.52] под под действием если мы это действие применим в среде ну вот можем попасть сюда можем попасть [1520.52-1500.00]  [1503.24-1504.22] то есть туда, штрих Т плюс один. [1506.72-1509.50] А какую-то награду мы... У каждого этого действия есть оценка.
[1525.00-1531.80] У каждого этого действия есть оценка этого действия, [1531.80-1534.88] сколько награды мы сможем получить, если начнем играть [1534.88-1535.88] из этого действия. [1535.88-1540.02] Соответственно, достаточно посчитать от ожидания вот [1540.02-1543.06] эти награды и дисконтировать в настоящий момент. [1543.06-1552.02] После этого мы сделали так для каждого действия, по [1552.02-1555.00] сути, а дальше мы выбираем действие жадно.
[1550.00-1554.64] Мы так сделали для каждого действия, по сути, а дальше мы выбираем действие жадно. [1554.88-1559.16] Типа, какое действие приведет меня к максимальной награде из этого состояния. [1559.16-1567.32] Вот что говорит нам уравнение Bellman Optimality Equation, [1567.44-1573.30] но здесь мы его используем еще как некоторую последовательность для того, чтобы обновлять нашу функцию. [1577.10-1550.00]  [1556.70-NA] Второй алгоритм.
[1575.00-1585.14] Второй алгоритм состоит, как я говорил, из двух этапов. [1585.40-1589.14] Первый — это policy evaluation, то есть что вы хотите сделать. [1589.22-1596.70] У вас есть политика P, вы хотите для этой политики получить ее оценку в APS, для любого S. [1600.30-1603.90] Соответственно, чтобы это сделать, вот вы запускаете такую итеративную процедуру, [1604.22-1575.00]  [1604.98-NA] Утверждается, что в России есть много интересных и интересных вопросов.
[1600.00-1602.62] Соответственно, чтобы это сделать, вот вы запускаете [1602.62-1606.26] такую итеративную процедуру, утверждается, что она сойдется [1606.26-1618.40] к некоторой, ну, к настоящей VPATS, такой, что VPATS подчиняется [1618.40-1619.40] уравнению Беллмана. [1619.40-1627.50] Вот, то есть сойдется к некоторой неподвижной точке. [1627.50-1600.00]  [1602.50-NA] Здесь как бы логика
[1625.00-1635.38] некоторые неподвижны точно здесь как бы логика логика оценки в функции встань с такая же только [1635.38-1645.22] вы не берете максимум вы от ожидаете по вашей политики типа берете ваши награды с тем весом [1645.22-1651.72] которое ваша политика приписывает как раз этим действием этот процесс называется полностью [1651.72-1625.00]  [1628.28-NA] Когда вы заканчиваете, вы получаете...
[1650.00-1652.46] Этот процесс называется policy evaluation. [1652.92-1656.62] Когда вы заканчиваете, вы получаете полную оценку для вашей политики. [1658.42-1659.78] Что дальше? Когда вы это сделали? [1660.40-1661.84] Можно улучшить политику. [1661.84-1670.34] То есть, если у вас была как раз некоторая пи-штрих, [1671.22-1674.98] вот эта пи-штрих предыдущей политики, ну и здесь, соответственно, пи-штрих, [1675.60-1650.00]  [1655.02-NA] И если вы возьмете по такому моменту, то вы можете
[1675.00-1698.68] Если вы возьмете по такому правилу новую политику, зададите ее с помощью такого правила, то утверждается, что Пи будет не хуже, чем Пи со звездой. [1702.68-1675.00]  [1681.32-NA] «А вот это значит, что...».
[1700.00-1717.88] Это значит, что любого состояния в IP от S будет не меньше, чем в IP от S. [1718.78-1728.46] То есть буквально благодаря этой процедуре вы можете при имеющейся оценке на вашу политику ее детерминированно улучшать. [1729.92-1700.00]  [1701.00-NA] А.
[1725.00-1733.24] на вашу политику ее детерминировано улучшать. И опять же, поскольку у нас четыре уравнения, [1733.24-1741.28] а мы сфокусировались только на двух для ваших, то тут стоит отметить, что то же самое все можно [1741.28-1750.68] сделать и для Q функции, то есть тоже запустить policy iteration, запустить value iteration. [1750.68-1725.00]  [1729.32-NA] что изменится изменится сложность вашего алгоритмом потому что
[1750.00-1752.78] В value iteration что изменится? [1753.02-1758.22] Изменится сложность вашего алгоритма, потому что после этого вы оперируете не только состояниями, [1758.32-1761.14] но еще и парами состояния действия. [1761.14-1767.92] Соответственно, у вас как бы до какого-то произведения получается тех элементов, которые вам нужно обновить. [1768.20-1750.00]  [1762.10-NA] Вот это на самом деле важно, что в данном случае как бы V-функцию можно представить как вектор S1, TTT, S...
[1775.00-1783.58] как вектор, S1, TTT, S, сколько у нас будет действий, S большой. [1785.02-1787.30] А куфунцу можно представить как табличку. [1787.30-1799.32] Табличку, давайте как-то ее более формально напишем. [1800.18-1804.30] Даже не табличку, а матричку, типа количество состояний [1804.30-1775.00]  [1775.40-NA] кина.
[1800.00-1807.68] даже не табличку, а вот матричку типа количество состояний на количество действий. [1808.94-1809.20] Вот. [1810.08-1812.40] Ну и соответственно, если вы используете Q-функцию, [1812.52-1815.00] то обновлять вам нужно целую таблицу, а не просто вектор. [1818.44-1821.14] Важно вот что отметить, что если вы учите V-функцию, [1821.46-1825.44] то прежде чем делать policy improvement, вам нужно восстановить Q-функцию, [1825.44-1800.00]  [1804.56-NA] потому что по функции лежит информация о качестве вашей.
[1825.00-1831.66] функцию потому что по функции лежит информация о качестве ваших действий и уже после этого братья [1831.66-1838.56] максим а если вы учите к функцию то этого этот шаг можно пропустить можно сразу брать от максим [1838.56-1846.06] почему я на это заостряю внимание потому что через непродолжительное время у нас не останется выбор [1846.06-1825.00]  [1832.14-NA] нам придется сойтись к одному из этих вариантов можно догадаться какому именно
[1850.00-1860.32] можно догадаться какому именно. Ну и последнее, что было на семинаре, это если вам все эти Q и V [1860.32-1867.64] функции не понравились и теория не привлекла внимание, а задачи такие решать хочется, то [1867.64-1875.72] можно вдохновиться успехами алгоритмов эволюционных стратегий и запустить похожую процедуру, [1875.72-1850.00]  [1854.14-NA] двигая ваше распределение в сторону элитных траекторий.
[1875.00-1882.68] процедуру двигая ваше распределение в сторону элитных траекторий элитных по отношению к какому-то [1882.68-1887.38] критерию но в данном случае поскольку мы оптимизируем награду элитные будут те у кого награда выше [1887.38-1899.44] соответственно этот алгоритм есть есть надежда что он сойдется к чему-то хорошему насколько он [1899.44-1875.00]  [1880.50-NA] эффективен с точки зрения того сколько сэмпов вы используете он абсолютно не
[1900.00-1907.88] с точки зрения того сколько сэмплов вы используете он абсолютно не эффективен ритмос от ленин в целом [1907.88-1913.18] славится тем насколько он не эффективен по количеству данных которые вам нужно чтобы [1913.18-1921.76] обучиться а вот сейчас и как идет тренд на то чтобы в целом даже не сейчас уже какое-то несколько лет [1921.76-1900.00]  [1905.64-NA] люди пытались ограничить бюджет и типа придумать алгоритм в рамках определенного бюджета.
[1925.00-1931.64] придумать алгоритм в рамках определенного бюджета по взаимодействию с вашей средой. [1931.90-1937.84] Вот эти алгоритмы, поскольку они не предполагают ничего о том объекте, с которым вы работаете, [1937.84-1940.28] то они очень неэффективны. [1940.96-1952.10] Чем меньше Inductive Biases вы вкладываете, тем меньше информации ваш алгоритм использует из среды, [1952.42-1925.00]  [1954.98-NA] тем в целом эффективность одного проекта.
[1950.00-1958.52] информации ваш алгоритм использует из среды, тем в целом эффективность одного сэмпла меньше. [1958.52-1967.76] Меньше вклад в качество всего алгоритма. Если популяция очень большая, то вклад отдельного [1967.76-1978.62] индивидуума уже не такой заметный. Это был краткий рекап нашей лекции. Есть ли у вас какие-то вопросы?
[1975.00-1977.76] Вот, это был краткий рекорд нашей лекции. [1978.00-1978.98] Есть ли у вас какие-то вопросы? [1980.46-1981.28] Наша предыдущая лекция. [1981.56-1983.82] Нет, это еще формально не началось. [1991.68-1993.58] Сергей, у меня небольшой вопрос по домашке, [1993.68-1996.52] ну, про policy iteration в целом. [1997.66-1999.68] У нас там есть условия, что нам нужно остановиться [1999.68-2000.88] по критерию остановы. [2001.62-2003.58] Вот, я хотел бы спросить, нам нужно ли еще сверять то, [2003.60-2004.80] что у нас политика не изменяется?
[2000.00-2000.90] критерию остановы. [2001.68-2003.56] Вот, я хотел бы спросить, вам нужно ли еще сверять то, [2003.60-2004.78] что у нас политика не изменяется? [2006.58-2008.66] Нет, потому что политика... [2008.66-2011.86] На самом деле, если у вас есть два действия, которые [2011.86-2016.08] одинаково хорошие, то есть, у вас есть две детерминированные [2016.08-2019.30] оптимальные политики, то между ними можно прыгать [2019.30-2021.44] и как бы там как повезет. [2022.12-2024.84] Обычно есть на этих действиях у вас какой-то порядок, [2024.84-2028.66] то типа индекс одного действия меньше другого, поэтому [2028.66-2000.00]  [2001.34-NA] нему, а максимум, который будет внести в свою деятельность.
[2025.00-2028.66] типа, индекс одного действия меньше другого, поэтому [2028.66-2031.70] аргмаксимум, который вы будете брать, будет предпочитать [2031.70-2035.36] одно действие относительно другого. [2035.64-2037.26] Но в целом, как бы, это излишне. [2037.44-2042.56] Достаточно проверять только, что функция удовлетворяет [2042.56-2044.02] уравнение Беллмана с какой-то точностью. [2046.04-2046.86] Угу, спасибо. [2053.70-2025.00]  [2027.00-NA] Так.
[2050.00-2063.20] тогда начинаю вторую лекцию просто вот так выглядит у нас вот наш цикл наш вот этот [2063.20-2070.68] фидбэк-клуб агент общается со средой и раньше все было отлично мы про этот мир этот мир был [2070.68-2075.40] нам совершенно понятен вы про него все знали вы могли мат ожидания считать все было шикарно но [2075.40-2050.00]  [2051.70-2052.20] Но в реальном мире, конечно же, не так. [2054.60-NA] В реальном мире мы в худшем случае срезаем...
[2075.00-2087.74] Но в реальном мире, конечно же, не так. В реальном мире мы в худшем случае среду даже видеть не можем. То есть нам просто какие-то эфемерные награды приходят, которые еще бывают довольно шумными. [2087.74-2075.00]  [2083.50-2091.44] и поэтому понять как она реально устроена довольно сложно на каждое явление есть какая-то своя модель может быть несколько с довольно может быть не нетривиальными
[2100.00-2111.10] может быть не нетривиальными дефицитами уравнениями поэтому может быть сложно но вот как бы примеры [2111.10-2120.82] средств которые с динамикой которых и завладать довольно сложно и таких средств большинство то [2120.82-2100.00]  [2108.40-NA] есть вы вряд ли с вероятностью близко к нулю вы будете знать динамику
[2125.00-2135.80] близко к нулю вы будете знать динамику среды с которой вы будете работать. Поэтому то, что [2135.80-2143.12] произойдет, первое наблюдение, чтобы проводить policy improvement, v-функция нам больше не [2143.12-2149.06] понадобится. То есть учить ее смысла больше не будет, потому что не сможем из нее, к сожалению, [2149.06-2153.88] восстановить политику. Это не значит, что она абсолютно бесполезна. Мы увидим, что она много [2153.88-2125.00]  [2128.06-NA] где используется по
[2150.00-2151.98] Это не значит, что она абсолютно бесполезна. [2152.48-2155.40] Мы увидим, что она много где используется по-прежнему, [2155.94-2161.36] но конкретно в нашем сетапе она не пригодится. [2163.72-2166.82] Ну и, да, тут я уже забежал вперед. [2167.88-2169.92] Поскольку Q-функция — это мат ожидания, [2170.62-2177.02] а мы знаем, что мат ожидания можно оценивать по сэмплам из этого распределения, [2177.62-2150.00]  [2152.14-2152.32] взяв эмпирическое среднее. [2153.06-NA] Даже есть теоретические...
[2175.00-2181.42] сэмплом из этого распределения взяв эмпирическое среднее даже есть теоретически гарантия так он [2181.42-2187.76] чисел усиленный усиленный закон чисел больших чисел поэтому ну давайте делаем то же самое [2187.76-2195.82] то есть буквально мы вы находите сейчас состояние ст начинаете играть в но и совершайте действия [2195.82-2175.00]  [2182.46-NA] то есть у вас ваша траектория она возьму другой цвет
[2200.00-2214.58] она возьмут другой цвет она точно уже пойдет сюда вот но но а дальше как бы у вас есть развивка но [2214.58-2221.16] вы начинаете спал вас есть какая-то текущая политика пи да тут важно что это все еще к юг и политику [2221.16-2227.42] мы пока не только нас считается на фиктивы начинаете играть вот у вас одна траектория [2227.42-2200.00]  [2202.58-NA] Вы добегаете до конца.
